# Drag coefficient (​),Mach number (​)
0.47,0.006
0.47,0.006
0.47,0.006
0.461,0.007
0.432,0.01
0.415,0.012
0.394,0.016
0.371,0.022
0.357,0.028
0.351,0.031
0.344,0.035
0.339,0.04
0.339,0.046
0.339,0.049
0.339,0.053
0.339,0.058
0.339,0.063
0.339,0.07
0.339,0.076
0.339,0.081
0.339,0.087
0.339,0.093
0.339,0.097
0.339,0.102
0.339,0.108
0.339,0.114
0.339,0.119
0.339,0.125
0.339,0.131
0.339,0.137
0.339,0.145
0.34,0.158
0.34,0.178
0.34,0.187
0.34,0.201
0.34,0.221
0.34,0.235
0.341,0.257
0.341,0.289
0.342,0.322
0.342,0.355
0.343,0.388
0.344,0.409
0.345,0.441
0.346,0.475
0.347,0.509
0.348,0.544
0.35,0.579
0.351,0.612
0.353,0.648
0.355,0.684
0.358,0.719
0.361,0.755
0.365,0.791
0.367,0.812
0.372,0.842
0.379,0.879
0.382,0.915
0.378,0.952
0.375,0.977
0.389,1.014
0.415,1.043
0.427,1.08
0.426,1.087
0.426,1.098
0.422,1.114
0.421,1.118
0.419,1.124
0.415,1.133
0.412,1.141
0.406,1.153
0.395,1.171
0.383,1.188
0.366,1.215
0.345,1.249
0.33,1.283
0.328,1.293
0.325,1.309
0.322,1.333
0.319,1.365
0.315,1.396
0.312,1.421
0.309,1.452
0.305,1.482
0.302,1.513
0.299,1.543
0.296,1.572
0.293,1.602
0.289,1.631
0.289,1.632
0.289,1.635
0.289,1.639
0.288,1.645
0.287,1.653
0.286,1.666
0.284,1.686
0.283,1.694
0.282,1.707
0.28,1.725
0.277,1.75
0.275,1.773
0.273,1.793
0.271,1.812
0.27,1.828
0.269,1.831
0.269,1.836
0.268,1.843
0.267,1.854
0.267,1.861
0.266,1.872
0.264,1.884
0.264,1.89
0.263,1.899
0.262,1.909
0.261,1.916
0.261,1.919
0.261,1.923
0.26,1.927
0.26,1.928
0.26,1.93
0.26,1.931
0.26,1.933
0.26,1.935
0.26,1.935
0.26,1.936
0.26,1.936
0.259,1.937
0.259,1.937
0.259,1.937
0.259,1.937
0.26,1.936
0.26,1.934
0.26,1.932
0.26,1.929
0.26,1.926
0.261,1.922
0.261,1.916
0.262,1.912
0.262,1.91
0.262,1.906
0.263,1.901
0.263,1.894
0.264,1.887
0.265,1.88
0.265,1.873
0.266,1.867
0.267,1.86
0.267,1.853
0.268,1.846
0.269,1.84
0.269,1.833
0.27,1.827
0.27,1.82
0.271,1.814
0.272,1.807
0.272,1.801
0.273,1.794
0.274,1.788
0.274,1.782
0.275,1.775
0.275,1.769
0.276,1.763
0.277,1.757
0.277,1.751
0.278,1.745
0.278,1.739
0.279,1.733
0.28,1.727
0.28,1.721
0.281,1.715
0.281,1.709
0.282,1.703
0.283,1.698
0.283,1.692
0.284,1.686
0.284,1.681
0.285,1.675
0.285,1.669
0.286,1.664
0.287,1.658
0.287,1.653
0.288,1.647
0.288,1.642
0.289,1.636
0.289,1.631
0.29,1.626
0.291,1.62
0.291,1.615
0.292,1.61
0.292,1.605
0.293,1.599
0.293,1.594
0.294,1.589
0.294,1.584
0.295,1.579
0.295,1.574
0.296,1.569
0.297,1.564
0.297,1.559
0.298,1.554
0.298,1.549
0.299,1.544
0.299,1.539
0.3,1.534
0.3,1.529
0.301,1.525
0.301,1.52
0.302,1.515
0.302,1.51
0.303,1.506
0.303,1.501
0.304,1.496
0.304,1.492
0.305,1.487
0.305,1.482
0.306,1.478
0.306,1.473
0.307,1.469
0.307,1.464
0.308,1.46
0.308,1.455
0.309,1.451
0.309,1.446
0.31,1.442
0.31,1.438
0.311,1.433
0.311,1.429
0.312,1.425
0.312,1.42
0.313,1.416
0.313,1.412
0.314,1.408
0.314,1.403
0.315,1.399
0.315,1.395
0.316,1.391
0.316,1.387
0.317,1.383
0.317,1.378
0.318,1.374
0.318,1.37
0.319,1.366
0.319,1.362
0.319,1.358
0.32,1.354
0.32,1.35
0.321,1.346
0.321,1.342
0.322,1.338
0.322,1.335
0.323,1.331
0.323,1.327
0.324,1.323
0.324,1.319
0.325,1.315
0.325,1.311
0.325,1.308
0.326,1.304
0.326,1.3
0.327,1.296
0.328,1.293
0.329,1.289
0.33,1.285
0.33,1.281
0.332,1.278
0.333,1.274
0.335,1.27
0.336,1.267
0.338,1.263
0.339,1.259
0.341,1.256
0.343,1.252
0.345,1.248
0.347,1.245
0.349,1.241
0.351,1.238
0.353,1.234
0.356,1.23
0.358,1.227
0.36,1.223
0.362,1.219
0.365,1.216
0.367,1.212
0.37,1.209
0.372,1.205
0.375,1.201
0.377,1.198
0.379,1.194
0.382,1.191
0.384,1.187
0.387,1.183
0.389,1.18
0.391,1.176
0.394,1.173
0.396,1.169
0.398,1.165
0.4,1.162
0.403,1.158
0.404,1.155
0.406,1.151
0.408,1.148
0.41,1.144
0.412,1.141
0.414,1.137
0.415,1.134
0.417,1.13
0.418,1.127
0.419,1.123
0.421,1.12
0.422,1.116
0.422,1.113
0.423,1.109
0.424,1.106
0.425,1.102
0.425,1.099
0.426,1.096
0.426,1.092
0.426,1.089
0.427,1.085
0.427,1.082
0.427,1.079
0.426,1.075
0.426,1.072
0.425,1.069
0.424,1.066
0.424,1.062
0.423,1.059
0.421,1.056
0.42,1.053
0.418,1.05
0.417,1.046
0.415,1.043
0.414,1.04
0.411,1.037
0.408,1.034
0.406,1.031
0.403,1.028
0.401,1.025
0.398,1.022
0.395,1.019
0.392,1.016
0.388,1.013
0.385,1.01
0.381,1.008
0.377,1.005
0.374,1.002
0.372,0.999
0.372,0.996
0.372,0.994
0.373,0.991
0.373,0.988
0.373,0.985
0.374,0.983
0.374,0.98
0.374,0.977
0.375,0.974
0.375,0.972
0.375,0.969
0.376,0.966
0.376,0.964
0.377,0.961
0.377,0.958
0.377,0.956
0.378,0.953
0.378,0.95
0.378,0.948
0.379,0.945
0.379,0.942
0.379,0.94
0.38,0.937
0.38,0.935
0.38,0.932
0.381,0.929
0.381,0.927
0.381,0.924
0.382,0.922
0.382,0.919
0.382,0.917
0.383,0.914
0.383,0.911
0.383,0.909
0.384,0.906
0.384,0.904
0.384,0.901
0.384,0.899
0.383,0.896
0.383,0.894
0.382,0.891
0.381,0.889
0.381,0.886
0.38,0.884
0.379,0.881
0.379,0.879
0.378,0.877
0.378,0.874
0.377,0.872
0.377,0.869
0.376,0.867
0.376,0.864
0.375,0.862
0.375,0.86
0.374,0.857
0.374,0.855
0.373,0.853
0.373,0.85
0.373,0.848
0.372,0.845
0.372,0.843
0.371,0.841
0.371,0.838
0.371,0.836
0.37,0.834
0.37,0.831
0.37,0.829
0.369,0.827
0.369,0.825
0.369,0.822
0.368,0.82
0.368,0.818
0.368,0.815
0.367,0.813
0.367,0.811
0.367,0.809
0.367,0.806
0.366,0.804
0.366,0.802
0.366,0.8
0.365,0.798
0.365,0.795
0.365,0.793
0.365,0.791
0.364,0.789
0.364,0.786
0.364,0.784
0.364,0.782
0.363,0.78
0.363,0.778
0.363,0.776
0.363,0.773
0.363,0.771
0.362,0.769
0.362,0.767
0.362,0.765
0.362,0.763
0.361,0.76
0.361,0.758
0.361,0.756
0.361,0.754
0.361,0.752
0.36,0.75
0.36,0.748
0.36,0.746
0.36,0.743
0.36,0.741
0.36,0.739
0.359,0.737
0.359,0.735
0.359,0.733
0.359,0.731
0.359,0.729
0.358,0.727
0.358,0.725
0.358,0.722
0.358,0.72
0.358,0.718
0.358,0.716
0.358,0.714
0.357,0.712
0.357,0.71
0.357,0.708
0.357,0.706
0.357,0.704
0.357,0.702
0.356,0.7
0.356,0.698
0.356,0.696
0.356,0.694
0.356,0.692
0.356,0.69
0.356,0.688
0.355,0.686
0.355,0.684
0.355,0.682
0.355,0.68
0.355,0.678
0.355,0.676
0.355,0.674
0.355,0.672
0.354,0.67
0.354,0.668
0.354,0.666
0.354,0.664
0.354,0.662
0.354,0.66
0.354,0.658
0.354,0.656
0.353,0.654
0.353,0.652
0.353,0.65
0.353,0.648
0.353,0.646
0.353,0.644
0.353,0.642
0.353,0.64
0.353,0.638
0.352,0.636
0.352,0.634
0.352,0.632
0.352,0.631
0.352,0.629
0.352,0.627
0.352,0.625
0.352,0.623
0.352,0.621
0.352,0.619
0.351,0.617
0.351,0.615
0.351,0.613
0.351,0.611
0.351,0.609
0.351,0.608
0.351,0.606
0.351,0.604
0.351,0.602
0.351,0.6
0.35,0.598
0.35,0.596
0.35,0.594
0.35,0.592
0.35,0.59
0.35,0.589
0.35,0.587
0.35,0.585
0.35,0.583
0.35,0.581
0.35,0.579
0.35,0.577
0.349,0.575
0.349,0.574
0.349,0.572
0.349,0.57
0.349,0.568
0.349,0.566
0.349,0.564
0.349,0.562
0.349,0.561
0.349,0.559
0.349,0.557
0.349,0.555
0.348,0.553
0.348,0.551
0.348,0.549
0.348,0.548
0.348,0.546
0.348,0.544
0.348,0.542
0.348,0.54
0.348,0.538
0.348,0.537
0.348,0.535
0.348,0.533
0.348,0.531
0.348,0.529
0.347,0.528
0.347,0.526
0.347,0.524
0.347,0.522
0.347,0.52
0.347,0.518
0.347,0.517
0.347,0.515
0.347,0.513
0.347,0.511
0.347,0.509
0.347,0.508
0.347,0.506
0.347,0.504
0.347,0.502
0.346,0.5
0.346,0.499
0.346,0.497
0.346,0.495
0.346,0.493
0.346,0.491
0.346,0.49
0.346,0.488
0.346,0.486
0.346,0.484
0.346,0.482
0.346,0.481
0.346,0.479
0.346,0.477
0.346,0.475
0.346,0.474
0.346,0.472
0.345,0.47
0.345,0.468
0.345,0.466
0.345,0.465
0.345,0.463
0.345,0.461
0.345,0.459
0.345,0.458
0.345,0.456
0.345,0.454
0.345,0.452
0.345,0.45
0.345,0.449
0.345,0.447
0.345,0.445
0.345,0.443
0.345,0.442
0.345,0.44
0.345,0.438
0.344,0.436
0.344,0.435
0.344,0.433
0.344,0.431
0.344,0.429
0.344,0.428
0.344,0.426
0.344,0.424
0.344,0.422
0.344,0.421
0.344,0.419
0.344,0.417
0.344,0.415
0.344,0.414
0.344,0.412
0.344,0.41
0.344,0.408
0.344,0.407
0.344,0.405
0.344,0.403
0.344,0.402
0.344,0.4
0.343,0.398
0.343,0.396
0.343,0.395
0.343,0.393
0.343,0.391
0.343,0.39
0.343,0.388
0.343,0.386
0.343,0.384
0.343,0.383
0.343,0.381
0.343,0.379
0.343,0.377
0.343,0.376
0.343,0.374
0.343,0.372
0.343,0.371
0.343,0.369
0.343,0.367
0.343,0.365
0.343,0.364
0.343,0.362
0.343,0.36
0.343,0.359
0.343,0.357
0.342,0.355
0.342,0.354
0.342,0.352
0.342,0.35
0.342,0.348
0.342,0.347
0.342,0.345
0.342,0.343
0.342,0.342
0.342,0.34
0.342,0.338
0.342,0.337
0.342,0.335
0.342,0.333
0.342,0.331
0.342,0.33
0.342,0.328
0.342,0.326
0.342,0.325
0.342,0.323
0.342,0.321
0.342,0.32
0.342,0.318
0.342,0.316
0.342,0.315
0.342,0.313
0.342,0.311
0.342,0.309
0.342,0.308
0.341,0.306
0.341,0.304
0.341,0.303
0.341,0.301
0.341,0.299
0.341,0.298
0.341,0.296
0.341,0.294
0.341,0.293
0.341,0.291
0.341,0.289
0.341,0.288
0.341,0.286
0.341,0.284
0.341,0.283
0.341,0.281
0.341,0.279
0.341,0.278
0.341,0.276
0.341,0.274
0.341,0.273
0.341,0.271
0.341,0.269
0.341,0.268
0.341,0.266
0.341,0.264
0.341,0.262
0.341,0.261
0.341,0.259
0.341,0.257
0.341,0.256
0.341,0.254
0.341,0.252
0.341,0.251
0.341,0.249
0.341,0.247
0.341,0.246
0.341,0.244
0.34,0.242
0.34,0.241
0.34,0.239
0.34,0.238
0.34,0.236
0.34,0.234
0.34,0.233
0.34,0.231
0.34,0.229
0.34,0.228
0.34,0.226
0.34,0.224
0.34,0.223
0.34,0.221
0.34,0.219
0.34,0.218
0.34,0.216
0.34,0.214
0.34,0.213
0.34,0.211
0.34,0.209
0.34,0.208
0.34,0.206
0.34,0.204
0.34,0.203
0.34,0.201
0.34,0.199
0.34,0.198
0.34,0.196
0.34,0.194
0.34,0.193
0.34,0.191
0.34,0.189
0.34,0.188
0.34,0.186
0.34,0.185
0.34,0.183
0.34,0.181
0.34,0.18
0.34,0.178
0.34,0.176
0.34,0.175
0.34,0.173
0.34,0.171
0.34,0.17
0.34,0.168
0.34,0.166
0.34,0.165
0.34,0.163
0.34,0.161
0.34,0.16
0.34,0.158
0.34,0.157
0.34,0.155
0.339,0.153
0.339,0.152
0.339,0.15
0.339,0.148
0.339,0.147
0.339,0.145
0.339,0.144
0.339,0.142
0.339,0.14
0.339,0.139
0.339,0.137
0.339,0.135
0.339,0.134
0.339,0.132
0.339,0.13
0.339,0.129
0.339,0.127
0.339,0.125
0.339,0.124
0.339,0.122
0.339,0.121
0.339,0.119
0.339,0.117
0.339,0.116
0.339,0.114
0.339,0.113
0.339,0.111
0.339,0.109
0.339,0.108
0.34,0.106
0.341,0.105
0.341,0.103
0.342,0.101
0.343,0.1
0.344,0.098
0.345,0.097
0.346,0.095
0.347,0.093
0.348,0.092
0.349,0.09
0.35,0.089
0.351,0.087
0.352,0.085
0.353,0.084
0.354,0.082
0.356,0.08
0.357,0.079
0.358,0.077
0.359,0.076
0.361,0.074
0.362,0.072
0.363,0.071
0.365,0.069
0.366,0.067
0.368,0.066
0.369,0.064
0.371,0.063
0.372,0.061
0.374,0.059
0.376,0.058
0.377,0.057
0.379,0.055
0.381,0.054
0.383,0.052
0.385,0.05
0.387,0.049
0.389,0.047
0.392,0.046
0.394,0.045
0.396,0.043
0.399,0.041
0.401,0.04
0.404,0.038
0.407,0.037
0.41,0.036
0.413,0.034
0.416,0.033
0.42,0.031
0.423,0.03
0.427,0.029
0.429,0.028
0.433,0.027
0.437,0.025
0.441,0.024
0.444,0.023
0.45,0.022
0.454,0.021
0.459,0.02
0.462,0.019
0.463,0.019
0.466,0.018
0.467,0.018
0.468,0.018
0.468,0.018
12.104,0.018
12.104,0.019
12.104,0.02
12.104,0.022
12.104,0.024
12.104,0.025
12.104,0.028
12.104,0.031
12.104,0.033
12.104,0.036
12.104,0.039
12.104,0.043
12.104,0.046
12.104,0.049
12.104,0.052
12.104,0.055
12.104,0.058
12.104,0.061
12.104,0.065
12.104,0.068
12.104,0.071
12.104,0.074
12.104,0.078
12.104,0.081
12.104,0.084
12.104,0.087
12.104,0.091
12.104,0.094
12.104,0.097
12.104,0.1
12.104,0.104
12.104,0.107
12.104,0.11
12.104,0.114
12.104,0.117
12.104,0.12
12.104,0.124
12.104,0.127
12.104,0.13
12.104,0.133
12.104,0.137
12.104,0.14
12.104,0.143
12.104,0.147
12.104,0.15
12.104,0.153
12.104,0.156
12.104,0.16
12.104,0.163
12.104,0.166
12.104,0.17
12.104,0.173
12.104,0.176
12.104,0.18
12.104,0.183
12.104,0.186
12.104,0.189
12.104,0.193
12.104,0.196
12.104,0.199
12.104,0.202
12.104,0.205
12.104,0.209
12.104,0.212
12.104,0.215
12.104,0.217
12.104,0.219
12.104,0.221
12.104,0.222
12.104,0.223
12.104,0.224
12.104,0.225
12.104,0.225
12.104,0.226
12.104,0.226
12.104,0.226
12.104,0.226
12.104,0.226
12.104,0.226
12.104,0.226
12.104,0.225
12.104,0.225
12.104,0.225
12.104,0.224
12.104,0.224
12.104,0.224
12.104,0.223
12.104,0.223
12.104,0.222
12.104,0.222
12.104,0.221
12.104,0.221
12.104,0.22
12.104,0.22
12.104,0.219
12.104,0.219
12.104,0.218
12.104,0.218
12.104,0.217
12.104,0.217
12.104,0.216
12.104,0.215
12.104,0.215
12.104,0.214
12.104,0.214
12.104,0.213
12.104,0.213
12.104,0.212
12.104,0.212
12.104,0.211
12.104,0.211
12.104,0.21
12.104,0.21
12.104,0.209
12.104,0.209
12.104,0.208
12.104,0.208
12.104,0.207
12.104,0.207
12.104,0.206
12.104,0.206
12.104,0.205
12.104,0.205
12.104,0.205
12.104,0.204
12.104,0.204
12.104,0.203
12.104,0.203
12.104,0.202
12.104,0.202
12.104,0.201
12.104,0.201
12.104,0.2
12.104,0.2
12.104,0.199
12.104,0.199
12.104,0.199
12.104,0.198
12.104,0.198
12.104,0.197
12.104,0.197
12.104,0.196
12.104,0.196
12.104,0.196
12.104,0.195
12.104,0.195
12.104,0.194
12.104,0.194
12.104,0.193
12.104,0.193
12.104,0.193
12.104,0.192
12.104,0.192
12.104,0.191
12.104,0.191
12.104,0.191
12.104,0.19
12.104,0.19
12.104,0.189
12.104,0.189
12.104,0.189
12.104,0.188
12.104,0.188
12.104,0.187
12.104,0.187
12.104,0.187
12.104,0.186
12.104,0.186
12.104,0.185
12.104,0.185
12.104,0.185
12.104,0.184
12.104,0.184
12.104,0.184
12.104,0.183
12.104,0.183
12.104,0.182
12.104,0.182
12.104,0.182
12.104,0.181
12.104,0.181
12.104,0.181
12.104,0.18
12.104,0.18
12.104,0.18
12.104,0.179
12.104,0.179
12.104,0.178
12.104,0.178
12.104,0.178
12.104,0.177
12.104,0.177
12.104,0.177
12.104,0.176
12.104,0.176
12.104,0.176
12.104,0.175
12.104,0.175
12.104,0.175
12.104,0.174
12.104,0.174
12.104,0.174
12.104,0.173
12.104,0.173
12.104,0.173
12.104,0.172
12.104,0.172
12.104,0.172
12.104,0.171
12.104,0.171
12.104,0.171
12.104,0.17
12.104,0.17
12.104,0.17
12.104,0.17
12.104,0.169
12.104,0.169
12.104,0.169
12.104,0.168
12.104,0.168
12.104,0.168
12.104,0.167
12.104,0.167
12.104,0.167
12.104,0.166
12.104,0.166
12.104,0.166
12.104,0.166
12.104,0.165
12.104,0.165
12.104,0.165
12.104,0.164
12.104,0.164
12.104,0.164
12.104,0.164
12.104,0.163
12.104,0.163
12.104,0.163
12.104,0.162
12.104,0.162
12.104,0.162
12.104,0.162
12.104,0.161
12.104,0.161
12.104,0.161
12.104,0.16
12.104,0.16
12.104,0.16
12.104,0.16
12.104,0.159
12.104,0.159
12.104,0.159
12.104,0.158
12.104,0.158
12.104,0.158
12.104,0.158
12.104,0.157
12.104,0.157
12.104,0.157
12.104,0.157
12.104,0.156
12.104,0.156
12.104,0.156
12.104,0.156
12.104,0.155
12.104,0.155
12.104,0.155
12.104,0.155
12.104,0.154
12.104,0.154
12.104,0.154
12.104,0.154
12.104,0.153
12.104,0.153
12.104,0.153
12.104,0.153
12.104,0.152
12.104,0.152
12.104,0.152
12.104,0.152
12.104,0.151
12.104,0.151
12.104,0.151
12.104,0.151
12.104,0.15
12.104,0.15
12.104,0.15
12.104,0.15
12.104,0.149
12.104,0.149
12.104,0.149
12.104,0.149
12.104,0.148
12.104,0.148
12.104,0.148
12.104,0.148
12.104,0.148
12.104,0.147
12.104,0.147
12.104,0.147
12.104,0.147
12.104,0.146
12.104,0.146
12.104,0.146
12.104,0.146
12.104,0.145
12.104,0.145
12.104,0.145
12.104,0.145
12.104,0.145
12.104,0.144
12.104,0.144
12.104,0.144
12.104,0.144
12.104,0.143
12.104,0.143
12.104,0.143
12.104,0.143
12.104,0.143
12.104,0.142
12.104,0.142
12.104,0.142
12.104,0.142
12.104,0.142
12.104,0.141
12.104,0.141
12.104,0.141
12.104,0.141
12.104,0.141
12.104,0.14
12.104,0.14
12.104,0.14
12.104,0.14
12.104,0.139
12.104,0.139
12.104,0.139
12.104,0.139
12.104,0.139
12.104,0.138
12.104,0.138
12.104,0.138
12.104,0.138
12.104,0.138
12.104,0.137
12.104,0.137
12.104,0.137
12.104,0.137
12.104,0.137
12.104,0.137
12.104,0.136
12.104,0.136
12.104,0.136
12.104,0.136
12.104,0.136
12.104,0.135
12.104,0.135
12.104,0.135
12.104,0.135
12.104,0.135
12.104,0.134
12.104,0.134
12.104,0.134
12.104,0.134
12.104,0.134
12.104,0.133
12.104,0.133
12.104,0.133
12.104,0.133
12.104,0.133
12.104,0.133
12.104,0.132
12.104,0.132
12.104,0.132
12.104,0.132
12.104,0.132
12.104,0.131
12.104,0.131
12.104,0.131
12.104,0.131
12.104,0.131
12.104,0.131
12.104,0.13
12.104,0.13
12.104,0.13
12.104,0.13
12.104,0.13
12.104,0.13
12.104,0.129
12.104,0.129
12.104,0.129
12.104,0.129
12.104,0.129
12.104,0.128
12.104,0.128
12.104,0.128
12.104,0.128
12.104,0.128
12.104,0.128
12.104,0.127
12.104,0.127
12.104,0.127
12.104,0.127
12.104,0.127
12.104,0.127
12.104,0.126
12.104,0.126
12.104,0.126
12.104,0.126
12.104,0.126
12.104,0.126
12.104,0.125
12.104,0.125
12.104,0.125
12.104,0.125
419.87,0.125
419.87,0.122
419.87,0.119
419.87,0.116
419.87,0.113
419.87,0.11
419.87,0.107
419.87,0.104
419.87,0.101
419.87,0.098
419.87,0.095
419.87,0.092
419.87,0.089
419.87,0.086
419.87,0.083
419.87,0.08
419.87,0.077
419.87,0.074
419.87,0.072
419.87,0.069
419.87,0.066
419.87,0.063
419.87,0.06
419.87,0.057
419.87,0.054
419.87,0.051
419.87,0.048
419.87,0.045
419.87,0.042
419.87,0.039
419.87,0.036
419.87,0.033
419.87,0.03
419.87,0.027
419.87,0.024
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
419.87,0.021
