# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg),Air density (kg/m³),Speed of sound (m/s)
29.506,9399.816,118.434,-10.601,18.177,0.4,300.023
29.556,9405.725,117.904,-10.59,18.177,0.4,300
29.606,9411.606,117.375,-10.581,18.177,0.4,299.976
29.656,9417.462,116.846,-10.569,18.177,0.4,299.953
29.706,9423.291,116.318,-10.558,18.177,0.399,299.93
29.756,9429.094,115.79,-10.547,18.177,0.399,299.908
29.806,9434.87,115.263,-10.537,18.177,0.399,299.885
29.856,9440.62,114.736,-10.528,18.177,0.398,299.862
29.906,9446.344,114.21,-10.522,18.177,0.398,299.84
29.956,9452.041,113.684,-10.514,18.177,0.398,299.817
30.006,9457.712,113.159,-10.505,18.177,0.398,299.795
30.056,9463.357,112.634,-10.498,18.177,0.397,299.773
30.106,9468.976,112.109,-10.489,18.177,0.397,299.751
30.156,9474.568,111.585,-10.481,18.177,0.397,299.728
30.206,9480.134,111.061,-10.471,18.177,0.396,299.707
30.256,9485.674,110.538,-10.462,18.177,0.396,299.685
30.306,9491.188,110.015,-10.453,18.177,0.396,299.663
30.356,9496.675,109.492,-10.443,18.177,0.396,299.641
30.406,9502.137,108.97,-10.435,18.177,0.395,299.62
30.456,9507.572,108.449,-10.429,18.177,0.395,299.598
30.506,9512.982,107.927,-10.421,18.177,0.395,299.577
30.556,9518.365,107.407,-10.414,18.177,0.394,299.556
30.606,9523.723,106.886,-10.406,18.177,0.394,299.535
30.656,9529.054,106.366,-10.399,18.177,0.394,299.514
30.706,9534.359,105.846,-10.392,18.177,0.394,299.493
30.756,9539.638,105.327,-10.385,18.177,0.393,299.472
30.806,9544.892,104.808,-10.379,18.177,0.393,299.451
30.856,9550.119,104.289,-10.372,18.177,0.393,299.431
30.906,9555.321,103.77,-10.366,18.177,0.393,299.41
30.956,9560.496,103.252,-10.361,18.177,0.392,299.39
31.006,9565.646,102.734,-10.355,18.177,0.392,299.37
31.056,9570.77,102.217,-10.351,18.177,0.392,299.35
31.106,9575.868,101.699,-10.343,18.177,0.392,299.329
31.156,9580.94,101.182,-10.338,18.177,0.391,299.309
31.206,9585.986,100.666,-10.335,18.177,0.391,299.29
31.256,9591.006,100.149,-10.329,18.177,0.391,299.27
31.306,9596.001,99.633,-10.324,18.177,0.391,299.25
31.356,9600.97,99.117,-10.319,18.177,0.39,299.231
31.406,9605.912,98.601,-10.316,18.177,0.39,299.211
31.456,9610.83,98.085,-10.31,18.177,0.39,299.192
31.506,9615.721,97.57,-10.302,18.177,0.39,299.172
31.556,9620.587,97.055,-10.297,18.177,0.389,299.153
31.606,9625.426,96.54,-10.29,18.177,0.389,299.134
31.656,9630.241,96.026,-10.285,18.177,0.389,299.115
31.706,9635.029,95.512,-10.28,18.177,0.389,299.096
31.756,9639.792,94.998,-10.278,18.177,0.388,299.078
31.806,9644.529,94.484,-10.275,18.177,0.388,299.059
31.856,9649.24,93.97,-10.27,18.177,0.388,299.04
31.906,9653.926,93.457,-10.266,18.177,0.388,299.022
31.956,9658.586,92.944,-10.263,18.177,0.387,299.004
32.006,9663.22,92.431,-10.257,18.177,0.387,298.985
32.056,9667.829,91.918,-10.252,18.177,0.387,298.967
32.106,9672.412,91.405,-10.249,18.177,0.387,298.949
32.156,9676.969,90.893,-10.243,18.177,0.387,298.931
32.206,9681.501,90.381,-10.236,18.177,0.386,298.913
32.256,9686.008,89.869,-10.227,18.177,0.386,298.896
32.306,9690.488,89.358,-10.219,18.177,0.386,298.878
32.356,9694.943,88.848,-10.211,18.177,0.386,298.86
32.406,9699.373,88.337,-10.202,18.177,0.386,298.843
32.456,9703.777,87.827,-10.194,18.177,0.385,298.826
32.506,9708.156,87.318,-10.191,18.177,0.385,298.808
32.556,9712.509,86.808,-10.183,18.177,0.385,298.791
32.606,9716.837,86.299,-10.176,18.177,0.385,298.774
32.656,9721.139,85.791,-10.17,18.177,0.384,298.757
32.706,9725.416,85.282,-10.164,18.177,0.384,298.74
32.756,9729.667,84.774,-10.156,18.177,0.384,298.724
32.806,9733.893,84.267,-10.149,18.177,0.384,298.707
32.856,9738.094,83.76,-10.143,18.177,0.384,298.69
32.906,9742.269,83.253,-10.136,18.177,0.383,298.674
32.956,9746.419,82.746,-10.131,18.177,0.383,298.658
33.006,9750.544,82.239,-10.126,18.177,0.383,298.641
33.056,9754.643,81.733,-10.121,18.177,0.383,298.625
33.106,9758.717,81.227,-10.117,18.177,0.383,298.609
33.156,9762.766,80.722,-10.111,18.177,0.383,298.593
33.206,9766.789,80.216,-10.107,18.177,0.382,298.577
33.256,9770.787,79.711,-10.103,18.177,0.382,298.562
33.306,9774.76,79.206,-10.098,18.177,0.382,298.546
33.356,9778.708,78.701,-10.093,18.177,0.382,298.53
33.406,9782.63,78.197,-10.089,18.177,0.382,298.515
33.456,9786.528,77.692,-10.083,18.177,0.381,298.5
33.506,9790.4,77.188,-10.078,18.177,0.381,298.484
33.556,9794.246,76.684,-10.074,18.177,0.381,298.469
33.606,9798.068,76.181,-10.07,18.177,0.381,298.454
33.656,9801.865,75.677,-10.065,18.177,0.381,298.439
33.706,9805.636,75.174,-10.06,18.177,0.381,298.424
33.756,9809.382,74.671,-10.058,18.177,0.38,298.41
33.806,9813.103,74.169,-10.055,18.177,0.38,298.395
33.856,9816.799,73.666,-10.052,18.177,0.38,298.38
33.906,9820.47,73.163,-10.048,18.177,0.38,298.366
33.956,9824.115,72.661,-10.045,18.177,0.38,298.352
34.006,9827.736,72.159,-10.041,18.177,0.379,298.337
34.056,9831.331,71.657,-10.036,18.177,0.379,298.323
34.106,9834.901,71.155,-10.031,18.177,0.379,298.309
34.156,9838.447,70.654,-10.027,18.177,0.379,298.295
34.206,9841.967,70.153,-10.025,18.177,0.379,298.281
34.256,9845.462,69.651,-10.02,18.177,0.379,298.268
34.306,9848.932,69.15,-10.017,18.177,0.378,298.254
34.356,9852.377,68.65,-10.015,18.177,0.378,298.24
34.406,9855.797,68.149,-10.011,18.177,0.378,298.227
34.456,9859.192,67.648,-10.008,18.177,0.378,298.213
34.506,9862.562,67.148,-10.003,18.177,0.378,298.2
34.556,9865.907,66.648,-10.001,18.177,0.378,298.187
34.606,9869.227,66.148,-9.996,18.177,0.377,298.174
34.656,9872.521,65.649,-9.989,18.177,0.377,298.161
34.706,9875.791,65.149,-9.985,18.177,0.377,298.148
34.756,9879.036,64.65,-9.982,18.177,0.377,298.135
34.806,9882.256,64.151,-9.981,18.177,0.377,298.123
34.856,9885.451,63.652,-9.977,18.177,0.377,298.11
34.906,9888.622,63.153,-9.974,18.177,0.377,298.098
34.956,9891.767,62.655,-9.972,18.177,0.376,298.085
35.006,9894.887,62.156,-9.971,18.177,0.376,298.073
35.056,9897.982,61.658,-9.967,18.177,0.376,298.061
35.106,9901.053,61.159,-9.965,18.177,0.376,298.049
35.156,9904.098,60.661,-9.96,18.177,0.376,298.037
35.206,9907.119,60.163,-9.956,18.177,0.376,298.025
35.256,9910.115,59.665,-9.954,18.177,0.376,298.013
35.306,9913.085,59.168,-9.95,18.177,0.375,298.001
35.356,9916.031,58.67,-9.947,18.177,0.375,297.99
35.406,9918.953,58.173,-9.944,18.177,0.375,297.978
35.456,9921.849,57.676,-9.941,18.177,0.375,297.967
35.506,9924.72,57.179,-9.936,18.177,0.375,297.955
35.556,9927.567,56.682,-9.933,18.177,0.375,297.944
35.606,9930.388,56.186,-9.933,18.177,0.375,297.933
35.656,9933.185,55.689,-9.929,18.177,0.374,297.922
35.706,9935.957,55.193,-9.926,18.177,0.374,297.911
35.756,9938.705,54.697,-9.923,18.177,0.374,297.9
35.806,9941.427,54.2,-9.922,18.177,0.374,297.89
35.856,9944.125,53.704,-9.918,18.177,0.374,297.879
35.906,9946.797,53.209,-9.916,18.177,0.374,297.868
35.956,9949.445,52.713,-9.912,18.177,0.374,297.858
36.006,9952.069,52.217,-9.91,18.177,0.374,297.848
36.056,9954.667,51.722,-9.908,18.177,0.373,297.837
36.106,9957.241,51.226,-9.91,18.177,0.373,297.827
36.156,9959.79,50.731,-9.908,18.177,0.373,297.817
36.206,9962.314,50.236,-9.906,18.177,0.373,297.807
36.256,9964.813,49.74,-9.904,18.177,0.373,297.797
36.306,9967.288,49.245,-9.899,18.177,0.373,297.788
36.356,9969.738,48.75,-9.892,18.177,0.373,297.778
36.406,9972.163,48.256,-9.888,18.177,0.373,297.768
36.456,9974.563,47.762,-9.886,18.177,0.372,297.759
36.506,9976.939,47.267,-9.884,18.177,0.372,297.75
36.556,9979.29,46.773,-9.88,18.177,0.372,297.74
36.606,9981.617,46.279,-9.877,18.177,0.372,297.731
36.656,9983.918,45.786,-9.874,18.177,0.372,297.722
36.706,9986.195,45.292,-9.872,18.177,0.372,297.713
36.756,9988.447,44.798,-9.869,18.177,0.372,297.704
36.806,9990.675,44.305,-9.865,18.177,0.372,297.696
36.856,9992.878,43.812,-9.864,18.177,0.372,297.687
36.906,9995.056,43.319,-9.864,18.177,0.372,297.678
36.956,9997.21,42.825,-9.861,18.177,0.371,297.67
37.006,9999.339,42.332,-9.857,18.177,0.371,297.661
37.056,1e4,41.84,-9.853,18.177,0.371,297.653
37.106,1e4,41.347,-9.851,18.177,0.371,297.645
37.156,1.001e4,40.855,-9.848,18.177,0.371,297.637
37.206,1.001e4,40.362,-9.845,18.177,0.371,297.629
37.256,1.001e4,39.87,-9.841,18.177,0.371,297.621
37.306,1.001e4,39.378,-9.838,18.177,0.371,297.613
37.356,1.001e4,38.886,-9.836,18.177,0.371,297.605
37.406,1.002e4,38.395,-9.834,18.177,0.371,297.598
37.456,1.002e4,37.903,-9.832,18.177,0.37,297.59
37.506,1.002e4,37.411,-9.829,18.177,0.37,297.583
37.556,1.002e4,36.92,-9.825,18.177,0.37,297.576
37.606,1.002e4,36.429,-9.824,18.177,0.37,297.568
37.656,1.002e4,35.938,-9.822,18.177,0.37,297.561
37.706,1.003e4,35.447,-9.821,18.177,0.37,297.554
37.756,1.003e4,34.956,-9.818,18.177,0.37,297.547
37.806,1.003e4,34.465,-9.814,18.177,0.37,297.54
37.856,1.003e4,33.974,-9.812,18.177,0.37,297.534
37.906,1.003e4,33.484,-9.81,18.177,0.37,297.527
37.956,1.004e4,32.993,-9.808,18.177,0.37,297.52
38.006,1.004e4,32.503,-9.807,18.177,0.37,297.514
38.056,1.004e4,32.013,-9.805,18.177,0.369,297.508
38.106,1.004e4,31.522,-9.803,18.177,0.369,297.501
38.156,1.004e4,31.032,-9.802,18.177,0.369,297.495
38.206,1.004e4,30.542,-9.801,18.177,0.369,297.489
38.256,1.004e4,30.052,-9.802,18.177,0.369,297.483
38.306,1.005e4,29.562,-9.8,18.177,0.369,297.477
38.356,1.005e4,29.072,-9.799,18.177,0.369,297.472
38.406,1.005e4,28.582,-9.797,18.177,0.369,297.466
38.456,1.005e4,28.092,-9.794,18.177,0.369,297.46
38.506,1.005e4,27.603,-9.793,18.177,0.369,297.455
38.556,1.005e4,27.113,-9.792,18.177,0.369,297.449
38.606,1.005e4,26.623,-9.791,18.177,0.369,297.444
38.656,1.006e4,26.134,-9.789,18.177,0.369,297.439
38.706,1.006e4,25.644,-9.788,18.177,0.369,297.434
38.756,1.006e4,25.155,-9.785,18.177,0.368,297.429
38.806,1.006e4,24.666,-9.783,18.177,0.368,297.424
38.856,1.006e4,24.177,-9.779,18.177,0.368,297.419
38.906,1.006e4,23.688,-9.779,18.177,0.368,297.414
38.956,1.006e4,23.199,-9.779,18.177,0.368,297.41
39.006,1.006e4,22.71,-9.775,18.177,0.368,297.405
39.056,1.007e4,22.222,-9.772,18.177,0.368,297.401
39.106,1.007e4,21.733,-9.771,18.177,0.368,297.397
39.156,1.007e4,21.244,-9.77,18.177,0.368,297.392
39.206,1.007e4,20.756,-9.767,18.177,0.368,297.388
39.256,1.007e4,20.268,-9.764,18.177,0.368,297.384
39.306,1.007e4,19.78,-9.763,18.177,0.368,297.38
39.356,1.007e4,19.291,-9.761,18.177,0.368,297.376
39.406,1.007e4,18.803,-9.76,18.177,0.368,297.373
39.456,1.007e4,18.315,-9.76,18.177,0.368,297.369
39.506,1.007e4,17.827,-9.756,18.177,0.368,297.365
39.556,1.008e4,17.34,-9.755,18.177,0.368,297.362
39.606,1.008e4,16.852,-9.755,18.177,0.368,297.359
39.656,1.008e4,16.364,-9.75,18.177,0.368,297.355
39.706,1.008e4,15.877,-9.747,18.177,0.368,297.352
39.756,1.008e4,15.39,-9.743,18.177,0.368,297.349
39.806,1.008e4,14.902,-9.744,18.177,0.367,297.346
39.856,1.008e4,14.415,-9.741,18.177,0.367,297.343
39.906,1.008e4,13.928,-9.74,18.177,0.367,297.34
39.956,1.008e4,13.441,-9.737,18.177,0.367,297.338
40.006,1.008e4,12.955,-9.73,18.177,0.367,297.335
40.056,1.008e4,12.468,-9.725,18.177,0.367,297.333
40.106,1.008e4,11.982,-9.719,18.177,0.367,297.33
40.156,1.008e4,11.496,-9.721,18.177,0.367,297.328
40.206,1.008e4,11.01,-9.72,18.177,0.367,297.326
40.256,1.009e4,10.524,-9.718,18.177,0.367,297.324
40.306,1.009e4,10.038,-9.716,18.177,0.367,297.321
40.356,1.009e4,9.553,-9.709,18.177,0.367,297.32
40.406,1.009e4,9.067,-9.703,18.177,0.367,297.318
40.456,1.009e4,8.582,-9.698,18.177,0.367,297.316
40.506,1.009e4,8.098,-9.696,18.177,0.367,297.314
40.556,1.009e4,7.613,-9.684,18.177,0.367,297.313
40.606,1.009e4,7.129,-9.678,18.177,0.367,297.311
40.656,1.009e4,6.645,-9.929,18.177,0.367,297.31
40.757,1.009e4,5.645,-9.897,18.177,0.367,297.308
40.858,1.009e4,4.646,-9.87,18.177,0.367,297.306
40.959,1.009e4,3.646,-9.841,18.177,0.367,297.304
41.061,1.009e4,2.646,-9.817,18.177,0.367,297.303
41.162,1.009e4,1.647,-9.792,18.177,0.367,297.302
41.264,1.009e4,0.647,-9.772,18.177,0.367,297.301
41.331,1.009e4,0,-9.759,18.177,0.367,297.301
41.332,1.009e4,-0.01,-9.759,18.177,0.367,297.301
41.434,1.009e4,-1.01,-9.739,18.177,0.367,297.301
41.537,1.009e4,-2.009,-9.719,18.177,0.367,297.302
41.64,1.009e4,-3.009,-9.697,18.177,0.367,297.303
41.743,1.009e4,-4.009,-9.675,18.177,0.367,297.304
41.846,1.009e4,-5.009,-9.652,18.177,0.367,297.306
41.95,1.009e4,-6.009,-9.624,18.177,0.367,297.309
42.054,1.009e4,-7.008,-9.595,18.177,0.367,297.311
42.158,1.009e4,-8.008,-9.563,18.177,0.367,297.314
42.262,1.009e4,-9.008,-9.525,18.177,0.367,297.318
42.367,1.009e4,-10.007,-9.48,18.177,0.367,297.322
42.473,1.008e4,-11.007,-9.441,18.177,0.367,297.326
42.579,1.008e4,-12.007,-9.38,18.177,0.367,297.331
42.685,1.008e4,-13.006,-9.314,18.177,0.367,297.336
42.792,1.008e4,-14.005,-9.262,18.177,0.367,297.342
42.9,1.008e4,-15.004,-9.204,18.177,0.367,297.348
43.009,1.008e4,-16.004,-9.142,18.177,0.368,297.355
43.118,1.008e4,-17.003,-9.072,18.177,0.368,297.362
43.228,1.007e4,-18.001,-9.011,18.177,0.368,297.369
43.339,1.007e4,-19,-8.943,18.177,0.368,297.377
43.451,1.007e4,-19.999,-8.869,18.177,0.368,297.386
43.563,1.007e4,-20.998,-8.792,18.177,0.368,297.395
43.677,1.006e4,-21.997,-8.711,18.177,0.368,297.405
43.792,1.006e4,-22.996,-8.621,18.177,0.368,297.415
43.908,1.006e4,-23.995,-8.532,18.177,0.368,297.426
44.025,1.006e4,-24.994,-8.429,18.177,0.369,297.437
44.143,1.005e4,-25.992,-8.307,18.177,0.369,297.449
44.263,1.005e4,-26.99,-8.212,18.177,0.369,297.461
44.385,1.005e4,-27.989,-8.1,18.177,0.369,297.474
44.508,1.004e4,-28.987,-7.995,18.177,0.369,297.488
44.633,1.004e4,-29.985,-7.877,18.177,0.369,297.503
44.76,1.004e4,-30.983,-7.755,18.177,0.37,297.518
44.888,1.003e4,-31.981,-7.63,18.177,0.37,297.534
45.019,1.003e4,-32.978,-7.497,18.177,0.37,297.551
45.152,1.002e4,-33.976,-7.356,18.177,0.37,297.568
45.288,1.002e4,-34.973,-7.215,18.177,0.37,297.587
45.426,1.001e4,-35.97,-7.066,18.177,0.371,297.606
45.567,1.001e4,-36.967,-6.927,18.177,0.371,297.626
45.711,1e4,-37.963,-6.774,18.177,0.371,297.647
45.858,9997.227,-38.96,-6.61,18.177,0.371,297.67
46.008,9991.284,-39.955,-6.442,18.177,0.372,297.693
46.163,9985.039,-40.95,-6.286,18.177,0.372,297.718
46.321,9978.477,-41.945,-6.108,18.177,0.372,297.744
46.484,9971.572,-42.939,-5.927,18.177,0.373,297.771
46.651,9964.298,-43.931,-5.749,18.177,0.373,297.799
46.824,9956.632,-44.923,-5.564,18.177,0.373,297.83
47.002,9948.544,-45.914,-5.38,18.177,0.374,297.861
47.186,9939.999,-46.905,-5.197,18.177,0.374,297.895
47.377,9930.959,-47.896,-5.002,18.177,0.375,297.931
47.575,9921.375,-48.887,-4.816,18.177,0.375,297.969
47.781,9911.191,-49.88,-4.604,18.177,0.376,298.009
47.996,9900.346,-50.871,-4.383,18.177,0.376,298.051
48.222,9888.772,-51.859,-4.168,18.177,0.377,298.097
48.458,9876.382,-52.845,-3.949,18.177,0.377,298.146
48.708,9863.07,-53.831,-3.719,18.177,0.378,298.198
48.972,9848.728,-54.812,-3.492,18.177,0.378,298.255
49.253,9833.19,-55.794,-3.257,18.177,0.379,298.316
49.553,9816.269,-56.773,-3.011,18.177,0.38,298.383
49.877,9797.771,-57.745,-2.763,18.177,0.381,298.455
50.226,9777.396,-58.712,-2.515,18.177,0.382,298.536
50.61,9754.695,-59.677,-2.259,18.177,0.383,298.625
51.035,9729.153,-60.636,-1.995,18.177,0.384,298.726
51.511,9700.03,-61.586,-1.72,18.177,0.385,298.84
52.011,9669.022,-62.446,-1.472,18.177,0.387,298.963
52.511,9637.615,-63.182,-1.245,18.177,0.388,299.086
53.011,9605.869,-63.805,-1.048,18.177,0.39,299.211
53.511,9573.835,-64.328,-0.873,18.177,0.392,299.337
54.011,9541.562,-64.765,-0.714,18.177,0.393,299.465
54.511,9509.09,-65.122,-0.575,18.177,0.395,299.593
55.011,9476.458,-65.409,-0.46,18.177,0.397,299.721
55.511,9443.696,-65.639,-0.357,18.177,0.398,299.85
56.011,9410.831,-65.818,-0.261,18.177,0.4,299.98
56.511,9377.889,-65.949,-0.186,18.177,0.402,300.109
57.011,9344.892,-66.042,-0.121,18.177,0.403,300.239
57.511,9311.856,-66.102,-0.065,18.177,0.405,300.369
58.011,9278.797,-66.135,-0.019,18.177,0.406,300.5
58.511,9245.727,-66.144,0.022,18.177,0.408,300.63
59.011,9212.657,-66.133,0.059,18.177,0.41,300.76
59.511,9179.598,-66.104,0.088,18.177,0.411,300.89
60.011,9146.558,-66.059,0.114,18.177,0.413,301.021
60.511,9113.542,-66.002,0.14,18.177,0.415,301.151
61.011,9080.558,-65.932,0.162,18.177,0.416,301.28
61.511,9047.612,-65.852,0.177,18.177,0.418,301.41
62.011,9014.709,-65.763,0.192,18.177,0.42,301.54
62.511,8981.851,-65.667,0.202,18.177,0.422,301.669
63.011,8949.043,-65.566,0.212,18.177,0.423,301.799
63.511,8916.286,-65.46,0.22,18.177,0.425,301.928
64.011,8883.584,-65.35,0.226,18.177,0.427,302.056
64.511,8850.937,-65.237,0.231,18.177,0.429,302.185
65.011,8818.347,-65.122,0.235,18.177,0.43,302.313
65.511,8785.816,-65.004,0.238,18.177,0.432,302.441
66.011,8753.344,-64.885,0.241,18.177,0.434,302.569
66.511,8720.931,-64.765,0.242,18.177,0.435,302.697
67.011,8688.579,-64.644,0.243,18.177,0.437,302.824
67.511,8656.288,-64.522,0.243,18.177,0.439,302.952
68.011,8624.057,-64.401,0.246,18.177,0.44,303.079
68.511,8591.887,-64.278,0.248,18.177,0.442,303.205
69.011,8559.779,-64.154,0.249,18.177,0.444,303.332
69.511,8527.734,-64.029,0.25,18.177,0.446,303.458
70.011,8495.751,-63.904,0.251,18.177,0.448,303.584
70.511,8463.83,-63.778,0.25,18.177,0.449,303.71
71.011,8431.972,-63.653,0.25,18.177,0.451,303.835
71.511,8400.177,-63.528,0.249,18.177,0.453,303.961
72.011,8368.444,-63.404,0.248,18.177,0.455,304.086
72.511,8336.773,-63.279,0.247,18.177,0.456,304.21
73.011,8305.164,-63.156,0.246,18.177,0.458,304.335
73.511,8273.617,-63.033,0.244,18.177,0.46,304.459
